Reference, Value, Footprint, Datasheet
"U1","LM2662","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C5","10 µF","Capacitors_SMD:C_1210",""
"C6","10 µF","Capacitors_SMD:C_1210",""
"C7","10 µF","Capacitors_SMD:C_1210",""
"C4","10 µF","Capacitors_SMD:C_1210",""
"D2","BAT721S","TO_SOT_Packages_SMD:SOT-23",""
"C3","10 µF","Capacitors_SMD:C_1210",""
"D1","BAT721S","TO_SOT_Packages_SMD:SOT-23",""
"C2","10 µF","Capacitors_SMD:C_1210",""
"U4","MCP3550","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"U6","DAC1220","Housings_SSOP:SSOP-16_3.9x4.9mm_Pitch0.635mm",""
"U3","ADR421","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"U2","PIC16F1459","Housings_SOIC:SOIC-20W_7.5x12.8mm_Pitch1.27mm",""
"P1","Mini USB","Connect:USB_Mini-B",""
"C11","0.1 µF","Capacitors_SMD:C_0805",""
"C12","0.1 µF","Capacitors_SMD:C_0805",""
"X1","2.5 MHz","Crystals:Crystal_HC49-U_Vertical",""
"C17","12 pF","Capacitors_SMD:C_0805",""
"C18","12 pF","Capacitors_SMD:C_0805",""
"C21","10 nF","Capacitors_SMD:C_0805",""
"C20","3.3 nF","Capacitors_SMD:C_0805",""
"C19","10 µF","Capacitors_SMD:C_1210",""
"U7","OPA4192","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"C25","0.1 µF","Capacitors_SMD:C_0805",""
"R4","27R","Resistors_SMD:R_0805",""
"C24","4700 pF","Capacitors_SMD:C_0805",""
"R5","10k","Resistors_SMD:R_0805",""
"K1","9007-05-01","my_footprints:RELAY-9007",""
"R6","240k*","Resistors_SMD:R_0805",""
"R8","240k*","Resistors_SMD:R_0805",""
"R7","75k*","Resistors_SMD:R_0805",""
"R9","75k*","Resistors_SMD:R_0805",""
"U5","MCP3550","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C27","0.1 µF","Capacitors_SMD:C_0805",""
"C28","0.1 µF","Capacitors_SMD:C_0805",""
"C22","0.1 µF","Capacitors_SMD:C_0805",""
"C23","0.1 µF","Capacitors_SMD:C_0805",""
"C10","0.1 µF","Capacitors_SMD:C_0805",""
"C9","0.1 µF","Capacitors_SMD:C_0805",""
"P3","ICSP","Pin_Headers:Pin_Header_Straight_1x06",""
"D3","CELL ON LED","LEDs:LED-3MM",""
"D4","MODE LED","my_footprints:DUO-LED-3mm",""
"R19","1k","Resistors_SMD:R_0805",""
"R20","1k","Resistors_SMD:R_0805",""
"R21","1k","Resistors_SMD:R_0805",""
"R10","10R*","Resistors_SMD:R_0805",""
"R11","1k*","Resistors_SMD:R_0805",""
"R12","100k*","Resistors_SMD:R_0805",""
"U8","DG449","my_footprints:sot23-8",""
"C14","0.1 µF","Capacitors_SMD:C_0805",""
"C16","0.1 µF","Capacitors_SMD:C_0805",""
"R2","10k","Resistors_SMD:R_0805",""
"R3","1k","Resistors_SMD:R_0805",""
"K2","9007-05-01","my_footprints:RELAY-9007",""
"K3","9007-05-01","my_footprints:RELAY-9007",""
"K4","9007-05-01","my_footprints:RELAY-9007",""
"R14","2k*","Resistors_SMD:R_0805",""
"R13","18k*","Resistors_SMD:R_0805",""
"R16","75k*","Resistors_SMD:R_0805",""
"R15","75k*","Resistors_SMD:R_0805",""
"R18","75k*","Resistors_SMD:R_0805",""
"R17","75k*","Resistors_SMD:R_0805",""
"U9","OPA2192","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"P2","CELL","my_footprints:TerminalBlock_Phoenix_MKDS1_5_3mm5",""
"C1","10 µF","Capacitors_SMD:C_1210",""
"C8","10 µF","Capacitors_SMD:C_1210",""
"R1","1k","Resistors_SMD:R_0805",""
"C15","0.1 µF","Capacitors_SMD:C_0805",""
"C13","0.1 µF","Capacitors_SMD:C_0805",""
"C29","12 pF","Capacitors_SMD:C_0805",""
"C26","12 pF","Capacitors_SMD:C_0805",""
